ECP,beta,VPA,divida_liq_EBITDA,margem_EBITDA,LPA,ano,P_EBITDA,EV_EBITDA,DY,P_L,P_VP,P_ativos,margem_EBIT,margem_liq,P_EBIT,EV_EBIT,divida_liq_EBIT,PSR,liq_corrente,ROE,ROA,ROIC,lucros_5anos,liq_media_diaria
0.56,0.77,10.96,2.53,0.22,0.16,2020,4.59,7.12,"0,80","69,45","0,99","0,49","10,06","1,77","12,23","17,61","5,39","1,23","0,98","1,43","0,71","4,36",,"9.190.647,37"
0.22,0.62,4.58,0.0,0.38,0.68,2020,9.43,8.93,"3,64","19,89","2,94","1,86","28,59","20,26","14,09","13,44","-0,65","4,03","1,23","14,77","9,37","19,35","-0,28","395.449.207,87"
0.82,0.97,4.87,0.0,0.1,0.41,2020,42.15,41.29,"0,20","69,05","5,77","3,14","8,15","6,80","57,56","50,98","-1,11","4,69","1,79","8,35","4,55","6,00","-1,97","59.103.410,47"
0.0,1.19,28.67,0.0,0.58,0.48,2020,13.84,10.96,,"61,62","1,02","0,71","39,35","14,34","22,46","18,20","-4,26","8,84","9,03","1,65","1,15","3,72","-27,08","70.559.096,27"
0.1,0.55,25.73,1.82,0.56,5.61,2020,2.78,4.6,"1,38","5,10","0,90","0,35","47,57","29,42","3,16","5,51","2,35","1,50","2,43","17,54","6,89","10,14","16,91","18.324.520,97"
0.45,1.51,6.96,4.28,0.06,-0.54,2020,6.83,11.12,,"-12,50","1,69","0,65","-0,34","-6,27","-231,42","-335,21","-103,79","0,78","1,76","-13,49","-5,23","-1,33",,"66.609.408,43"
0.0,0.79,15.33,0.0,0.06,-0.26,2020,38.0,24.51,"0,22","-124,18","1,56","1,05","-2,57","-2,36","-113,85","-81,07","32,78","2,93","2,61","-1,26","-0,84","-1,38","-31,12","2.292.472,17"
0.88,0.9,8.2,0.0,0.18,1.8,2020,13.08,12.76,"1,31","24,43","5,33","2,11","13,74","9,83","17,48","17,46","-0,01","2,40","2,26","21,82","8,65","13,02","7,54","22.582.186,07"
0.21,1.86,-29.27,8.11,0.2,-26.37,2020,2.13,10.24,,"-3,22","-2,90","1,49","-11,73","-74,27","-20,42","-34,55","-14,13","2,39","0,37","90,10","-46,19","-15,39",,"496.253.449,53"
0.72,1.07,12.09,0.0,0.68,1.52,2020,18.48,17.31,"2,87","32,73","4,12","2,49","59,44","48,68","26,81","25,31","-1,50","15,93","1,19","12,58","7,61","10,47","22,64","602.513.439,63"
0.0,1.25,7.14,0.84,-0.49,-1.93,2020,-1.1,-0.27,,"-1,17","0,32","0,21","-53,25","-51,99","-1,15","-0,37","0,77","0,61","1,49","-27,32","-17,56","-29,61",,"1.561.563,77"
0.0,0.6,3.05,0.0,0.0,3.26,2020,0.0,0.0,"10,53","8,15","8,73","4,56",,,"6,25","6,25",,,"1,34","107,08","55,99",,"14,01","137.119.153,10"
