,tick,ano,divida_liq_EBITDA,ROIC,VPA,ROA,P_L,PSR,P_VP,ECP,P_EBIT,DY,ROE,P_ativos,margem_EBITDA,LPA,margem_liq,EV_EBITDA,beta,P_EBITDA,EV_EBIT,result_caso1,result_caso2,result_caso3,result_caso4,result_caso5
0,AALR3,2016.0,1.99,0.05,10.54,0.01,54.3,1.77,1.39,0.4,16.67,0.0,0.03,0.78,0.16,0.27,0.03,8.61,0.32,10.86,13.22,True,False,False,False,0.01
1,AALR3,2017.0,3.4,0.03,10.74,0.01,116.71,1.63,1.38,0.28,24.66,0.0,0.01,0.77,0.14,0.13,0.01,10.28,0.41,11.72,21.62,False,False,False,False,-0.11
2,AALR3,2018.0,2.42,0.07,10.98,0.02,30.28,1.46,1.21,0.38,11.49,0.0,0.04,0.71,0.2,0.44,0.05,7.09,0.33,7.16,11.38,True,True,True,True,0.37
3,AALR3,2019.0,2.02,0.06,11.16,0.02,42.12,2.0,1.63,0.41,15.13,0.0044,0.04,0.89,0.24,0.43,0.05,5.96,0.07,8.25,10.94,False,False,False,False,-0.5
4,ABEV3,2000.0,0.0,0.09,92.87,0.09,22.96,3.46,5.06,0.58,25.62,0.0,0.22,2.1,0.0,20.47,0.15,0.0,0.27,0.0,266.72,True,False,False,False,0.02
5,ABEV3,2001.0,0.0,0.14,89.38,0.09,17.53,2.53,4.79,0.38,11.04,0.0192,0.27,1.5,0.0,24.42,0.14,0.0,0.5,0.0,127.91,True,True,False,False,0.12
6,ABEV3,2002.0,0.0,0.18,109.99,0.13,11.52,2.5,4.35,0.14,8.9,0.0083,0.38,1.48,0.0,41.51,0.22,0.0,0.28,0.0,93.14,True,True,True,True,0.44
7,ABEV3,2003.0,0.0,0.13,118.8,0.1,16.74,2.77,5.35,0.33,13.59,0.0414,0.32,1.62,0.0,37.93,0.17,0.0,0.23,0.0,108.92,True,False,False,False,0.02
8,ABEV3,2004.0,0.0,0.08,314.75,0.04,56.66,6.22,4.35,0.44,28.68,0.0094,0.08,2.26,0.0,24.15,0.11,0.0,0.23,0.0,74.72,True,True,True,True,0.51
9,ABEV3,2005.0,1.15,0.11,305.89,0.05,28.36,3.08,2.46,0.17,13.41,0.0479,0.09,1.47,0.39,26.52,0.11,31.11,0.21,7.87,52.98,True,True,True,True,0.21
10,ABEV3,2006.0,1.22,0.16,305.87,0.08,20.08,3.41,3.08,0.22,11.16,0.0283,0.15,1.69,0.44,46.97,0.17,25.14,0.58,7.69,36.48,True,True,True,True,0.25
11,ABEV3,2007.0,1.12,0.17,28.6,0.08,26.22,3.92,4.37,0.25,13.31,0.1014,0.17,2.17,0.45,4.77,0.15,22.45,0.56,8.78,34.05,False,False,False,False,-0.18
12,ABEV3,2008.0,1.22,0.17,28.36,0.09,16.38,2.49,2.99,0.36,8.99,0.054000000000000006,0.18,1.4,0.43,5.18,0.15,21.85,0.49,5.75,34.19,True,True,True,True,0.81
13,ABEV3,2009.0,0.66,0.26,36.17,0.16,14.14,3.92,4.08,0.11,9.45,0.0375,0.29,2.27,0.47,10.43,0.28,17.66,0.52,8.27,20.19,True,True,True,True,0.5
14,ABEV3,2010.0,0.0,0.32,7.92,0.18,17.67,5.34,5.48,0.38,13.44,0.1783,0.31,3.16,0.46,2.46,0.3,16.11,0.49,11.62,18.63,True,True,True,True,0.36
15,ABEV3,2011.0,0.0,0.37,8.29,0.19,19.52,6.27,6.59,0.54,14.53,0.0306,0.34,3.69,0.49,2.8,0.32,13.88,0.35,12.93,15.61,True,True,True,True,0.32
